lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-480.0214189884328,-7.837581277962454e-05,-0.00020130171025972148,82,3,1,0,0.009752988815307617,2.062776803970337,0,EIG-0|10|5|3|1,0,
-480.02138990940296,-6.988768447277587e-05,-0.00029222586775239947,82,9,1,0,0.01418304443359375,2.0796496868133545,0,EIG-0|10|5|3|1,0,
-480.0213332981515,-7.055508188563745e-05,-0.00032636397650490144,88,10,1,0,0.01990509033203125,2.1028528213500977,0,EIG-0|10|5|3|1,0,
-480.0212667660268,-7.585120682240048e-05,-0.00030359231670481346,100,11,1,0,0.024448871612548828,2.129990816116333,0,EIG-0|10|5|3|1,0,
-480.0212079474642,-4.3765301429649116e-05,-0.00019670998541619666,82,9,1,0,0.026885032653808594,2.1597156524658203,0,EIG-0|10|5|3|1,0,
-480.02116364790334,-5.8971304504839185e-05,-0.0001588288015629041,100,5,1,0,0.02473306655883789,2.1872398853302,0,EIG-0|10|5|3|1,0,
-480.0211273907234,-4.073689754490929e-05,-0.00015226093049352997,82,9,1,0,0.024435043334960938,2.214465618133545,0,EIG-0|10|5|3|1,0,
-480.02109540023605,-4.7377057222301323e-05,-4.7377057222301323e-05,100,1,1,0,0.02462005615234375,2.2416908740997314,0,EIG-0|10|5|3|1,0,
-480.0210858470041,-3.6816112924657616e-05,-0.00017486606406319453,100,10,1,0,0.01793193817138672,2.2621757984161377,0,EIG-0|10|5|3|1,0,
-480.02106814469084,-5.103218664283557e-05,-0.00016205438798571508,82,9,1,0,0.022043943405151367,2.2869958877563477,0,EIG-0|10|5|3|1,0,
-480.0210498218921,-5.0166967348787973e-05,-5.0166967348787973e-05,82,1,1,0,0.018393993377685547,2.308192729949951,0,EIG-0|10|5|3|1,0,
-480.0210392994962,-4.685296346404692e-05,-0.00014999417165310948,100,5,1,0,0.016588926315307617,2.3276607990264893,0,EIG-0|10|5|3|1,0,
-480.02101779356065,-2.284269404475339e-05,-8.136811591560263e-05,82,9,1,0,0.021732091903686523,2.3526499271392822,0,EIG-0|10|5|3|1,0,
-480.02099040009864,-3.47129282852453e-05,-0.00013571389305728546,100,11,1,0,0.022648096084594727,2.37799072265625,0,EIG-0|10|5|3|1,0,
-480.0209723219578,-2.688374720411106e-05,-0.00010004614158851067,82,5,1,0,0.01953887939453125,2.400160789489746,0,EIG-0|10|5|3|1,0,
-480.02096321322597,-5.317812075350954e-05,-0.0001637208509763087,82,8,1,0,0.015238046646118164,2.417801856994629,0,EIG-0|10|5|3|1,0,
-480.0209409992259,-2.894113005527677e-05,-0.00010371235551166687,82,8,1,0,0.01852893829345703,2.438760757446289,0,EIG-0|10|5|3|1,0,
-480.0209311429483,-2.4436062704331684e-05,-7.66104246166784e-05,100,10,1,0,0.016069889068603516,2.4571709632873535,0,EIG-0|10|5|3|1,0,
